Time;Temperatura
03/12/2024 13:30;37.2 °C
03/12/2024 13:45;42.5 °C
03/12/2024 14:00;42.2 °C
03/12/2024 14:15;39.6 °C
03/12/2024 14:30;38.4 °C
03/12/2024 14:45;37.5 °C
03/12/2024 15:00;35.9 °C
03/12/2024 15:15;35.3 °C
03/12/2024 15:30;35.1 °C
03/12/2024 15:45;35.1 °C
03/12/2024 16:00;35.3 °C
03/12/2024 16:15;36.0 °C
03/12/2024 16:30;35.6 °C
03/12/2024 16:45;34.3 °C
03/12/2024 17:00;33.1 °C
03/12/2024 17:15;33.4 °C
03/12/2024 17:30;32.8 °C
03/12/2024 17:45;30.9 °C
03/12/2024 18:00;30.0 °C
03/12/2024 18:15;30.4 °C
03/12/2024 18:30;30.2 °C
03/12/2024 18:45;31.5 °C
03/12/2024 19:00;34.0 °C
03/12/2024 19:15;32.8 °C
03/12/2024 19:30;32.3 °C
03/12/2024 19:45;32.5 °C
03/12/2024 20:00;33.6 °C
03/12/2024 20:15;33.1 °C
03/12/2024 20:30;33.2 °C
03/12/2024 20:45;33.9 °C
03/12/2024 21:00;35.9 °C
03/12/2024 21:15;40.6 °C
03/12/2024 21:30;43.7 °C
03/12/2024 21:45;42.6 °C
03/12/2024 22:00;39.3 °C
03/12/2024 22:15;36.2 °C
03/12/2024 22:30;32.2 °C
03/12/2024 22:45;29.3 °C
03/12/2024 23:00;28.6 °C
03/12/2024 23:15;28.6 °C
03/12/2024 23:30;29.6 °C
03/12/2024 23:45;30.3 °C
04/12/2024 00:00;31.7 °C
04/12/2024 00:15;33.1 °C
04/12/2024 00:30;34.4 °C
04/12/2024 00:45;36.0 °C
04/12/2024 01:00;39.7 °C
04/12/2024 01:15;39.9 °C
04/12/2024 01:30;40.4 °C
04/12/2024 01:45;39.7 °C
04/12/2024 02:00;37.0 °C
04/12/2024 02:15;36.8 °C
04/12/2024 02:30;36.9 °C
04/12/2024 02:45;36.6 °C
04/12/2024 03:00;35.7 °C
04/12/2024 03:15;35.9 °C
04/12/2024 03:30;35.8 °C
04/12/2024 03:45;35.7 °C
04/12/2024 04:00;35.0 °C
04/12/2024 04:15;33.7 °C
04/12/2024 04:30;32.6 °C
04/12/2024 04:45;32.7 °C
04/12/2024 05:00;33.2 °C
04/12/2024 05:15;33.7 °C
04/12/2024 05:30;33.7 °C
04/12/2024 05:45;35.4 °C
04/12/2024 06:00;36.4 °C
04/12/2024 06:15;35.3 °C
04/12/2024 06:30;34.4 °C
04/12/2024 06:45;34.4 °C
