Time,Vazao
2024-12-03 16:00:00,292.000000
2024-12-03 16:15:00,301.000000
2024-12-03 16:30:00,294.000000
2024-12-03 16:45:00,282.000000
2024-12-03 17:00:00,291.000000
2024-12-03 17:15:00,264.000000
2024-12-03 17:30:00,242.000000
2024-12-03 17:45:00,248.000000
2024-12-03 18:00:00,260.000000
2024-12-03 18:15:00,284.000000
2024-12-03 18:30:00,277.000000
2024-12-03 18:45:00,269.000000
2024-12-03 19:00:00,281.000000
2024-12-03 19:15:00,303.000000
2024-12-03 19:30:00,313.000000
2024-12-03 19:45:00,315.000000
2024-12-03 20:00:00,309.000000
2024-12-03 20:15:00,292.000000
2024-12-03 20:30:00,309.000000
2024-12-03 20:45:00,283.000000
2024-12-03 21:00:00,281.000000
2024-12-03 21:15:00,282.000000
2024-12-03 21:30:00,285.000000
2024-12-03 21:45:00,248.000000
2024-12-03 22:00:00,251.000000
2024-12-03 22:15:00,258.000000
2024-12-03 22:30:00,262.000000
2024-12-03 22:45:00,263.000000
2024-12-03 23:00:00,264.000000
2024-12-03 23:15:00,270.000000
2024-12-03 23:30:00,278.000000
2024-12-03 23:45:00,287.000000
2024-12-04 00:00:00,298.000000
2024-12-04 00:15:00,297.000000
2024-12-04 00:30:00,279.000000
2024-12-04 00:45:00,285.000000
2024-12-04 01:00:00,288.000000
2024-12-04 01:15:00,291.000000
2024-12-04 01:30:00,296.000000
2024-12-04 01:45:00,303.000000
2024-12-04 02:00:00,309.000000
2024-12-04 02:15:00,314.000000
2024-12-04 02:30:00,317.000000
2024-12-04 02:45:00,318.000000
2024-12-04 03:00:00,319.000000
2024-12-04 03:15:00,324.000000
2024-12-04 03:30:00,286.000000
2024-12-04 03:45:00,292.000000
2024-12-04 04:00:00,291.000000
2024-12-04 04:15:00,294.000000
2024-12-04 04:30:00,293.000000
2024-12-04 04:45:00,295.000000
2024-12-04 05:00:00,299.000000
2024-12-04 05:15:00,265.000000
2024-12-04 05:30:00,257.000000
2024-12-04 05:45:00,242.000000
2024-12-04 06:00:00,237.000000
2024-12-04 06:15:00,222.000000
2024-12-04 06:30:00,283.000000
2024-12-04 06:45:00,254.000000
2024-12-04 07:00:00,253.000000
2024-12-04 07:15:00,286.000000
2024-12-04 07:30:00,271.000000
2024-12-04 07:45:00,297.000000
2024-12-04 08:00:00,296.000000
2024-12-04 08:15:00,275.000000
2024-12-04 08:30:00,290.000000
2024-12-04 08:45:00,294.000000
2024-12-04 09:00:00,299.000000
2024-12-04 09:15:00,278.000000
2024-12-04 09:30:00,248.000000
2024-12-04 09:45:00,292.000000
2024-12-04 10:00:00,317.000000
2024-12-04 10:15:00,326.000000
2024-12-04 10:30:00,307.000000
2024-12-04 10:45:00,321.000000
2024-12-04 11:00:00,313.000000
2024-12-04 11:15:00,312.000000
2024-12-04 11:30:00,322.000000
2024-12-04 11:45:00,303.000000
2024-12-04 12:00:00,321.000000
2024-12-04 12:15:00,313.000000
2024-12-04 12:30:00,307.000000
2024-12-04 12:45:00,298.000000
2024-12-04 13:00:00,308.000000
2024-12-04 13:15:00,300.000000
2024-12-04 13:30:00,306.000000
2024-12-04 13:45:00,289.000000
2024-12-04 14:00:00,327.000000
2024-12-04 14:15:00,292.000000
2024-12-04 14:30:00,296.000000
2024-12-04 14:45:00,293.000000
2024-12-04 15:00:00,299.000000
2024-12-04 15:15:00,281.000000
2024-12-04 15:30:00,266.000000
2024-12-04 15:45:00,254.000000
2024-12-04 16:00:00,269.000000
2024-12-04 16:15:00,265.000000
2024-12-04 16:30:00,264.000000
2024-12-04 16:45:00,262.000000
2024-12-04 17:00:00,266.000000
2024-12-04 17:15:00,254.000000
2024-12-04 17:30:00,259.000000
2024-12-04 17:45:00,250.000000
2024-12-04 18:00:00,221.000000
2024-12-04 18:15:00,227.000000
2024-12-04 18:30:00,221.000000
2024-12-04 18:45:00,246.000000
2024-12-04 19:00:00,262.000000
2024-12-04 19:15:00,261.000000
2024-12-04 19:30:00,280.000000
2024-12-04 19:45:00,286.000000
2024-12-04 20:00:00,297.000000
2024-12-04 20:15:00,307.000000
2024-12-04 20:30:00,326.000000
2024-12-04 20:45:00,314.000000
2024-12-04 21:00:00,307.000000
2024-12-04 21:15:00,305.000000
2024-12-04 21:30:00,308.000000
2024-12-04 21:45:00,316.000000
2024-12-04 22:00:00,320.000000
2024-12-04 22:15:00,315.000000
2024-12-04 22:30:00,321.000000
2024-12-04 22:45:00,332.000000
2024-12-04 23:00:00,333.000000
2024-12-04 23:15:00,336.000000
2024-12-04 23:30:00,331.000000
2024-12-04 23:45:00,334.000000
2024-12-05 00:00:00,334.000000
2024-12-05 00:15:00,327.000000
2024-12-05 00:30:00,320.000000
2024-12-05 00:45:00,303.000000
2024-12-05 01:00:00,303.000000
2024-12-05 01:15:00,295.000000
2024-12-05 01:30:00,292.000000
2024-12-05 01:45:00,286.000000
2024-12-05 02:00:00,275.000000
2024-12-05 02:15:00,263.000000
2024-12-05 02:30:00,252.000000
2024-12-05 02:45:00,237.000000
2024-12-05 03:00:00,237.000000
2024-12-05 03:15:00,235.000000
2024-12-05 03:30:00,237.000000
2024-12-05 03:45:00,239.000000
2024-12-05 04:00:00,240.000000
2024-12-05 04:15:00,252.000000
2024-12-05 04:30:00,257.000000
2024-12-05 04:45:00,264.000000
2024-12-05 05:00:00,275.000000
2024-12-05 05:15:00,286.000000
2024-12-05 05:30:00,316.000000
2024-12-05 05:45:00,331.000000
2024-12-05 06:00:00,353.000000
2024-12-05 06:15:00,360.000000
2024-12-05 06:30:00,359.000000
2024-12-05 06:45:00,359.000000
2024-12-05 07:00:00,359.000000
2024-12-05 07:15:00,360.000000
2024-12-05 07:30:00,359.000000
2024-12-05 07:45:00,360.000000
2024-12-05 08:00:00,359.000000
2024-12-05 08:15:00,360.000000
2024-12-05 08:30:00,360.000000
2024-12-05 08:45:00,331.000000
2024-12-05 09:00:00,318.000000
2024-12-05 09:15:00,333.000000
2024-12-05 09:30:00,356.000000
2024-12-05 09:45:00,360.000000
2024-12-05 10:00:00,359.000000
2024-12-05 10:15:00,354.000000
2024-12-05 10:30:00,357.000000
2024-12-05 10:45:00,352.000000
2024-12-05 11:00:00,360.000000
2024-12-05 11:15:00,356.000000
2024-12-05 11:30:00,358.000000
2024-12-05 11:45:00,360.000000
2024-12-05 12:00:00,360.000000
2024-12-05 12:15:00,360.000000
2024-12-05 12:30:00,360.000000
2024-12-05 12:45:00,353.000000
2024-12-05 13:00:00,359.000000
2024-12-05 13:15:00,350.000000
2024-12-05 13:30:00,344.000000
2024-12-05 13:45:00,358.000000
2024-12-05 14:00:00,350.000000
2024-12-05 14:15:00,344.000000
2024-12-05 14:30:00,337.000000
2024-12-05 14:45:00,336.000000
2024-12-05 15:00:00,335.000000
2024-12-05 15:15:00,341.000000
2024-12-05 15:30:00,329.000000
2024-12-05 15:45:00,303.000000
2024-12-05 16:00:00,287.000000
2024-12-05 16:15:00,287.000000
2024-12-05 16:30:00,340.000000
2024-12-05 16:45:00,358.000000
2024-12-05 17:00:00,353.000000
2024-12-05 17:15:00,332.000000
2024-12-05 17:30:00,303.000000
2024-12-05 17:45:00,306.000000
2024-12-05 18:00:00,278.000000
2024-12-05 18:15:00,261.000000
2024-12-05 18:30:00,272.000000
2024-12-05 18:45:00,270.000000
2024-12-05 19:00:00,289.000000
2024-12-05 19:15:00,268.000000
2024-12-05 19:30:00,277.000000
2024-12-05 19:45:00,258.000000
2024-12-05 20:00:00,294.000000
2024-12-05 20:15:00,275.000000
2024-12-05 20:30:00,270.000000
2024-12-05 20:45:00,276.000000
2024-12-05 21:00:00,305.000000
2024-12-05 21:15:00,311.000000
2024-12-05 21:30:00,291.000000
2024-12-05 21:45:00,275.000000
2024-12-05 22:00:00,261.000000
2024-12-05 22:15:00,267.000000
2024-12-05 22:30:00,257.000000
2024-12-05 22:45:00,256.000000
2024-12-05 23:00:00,255.000000
2024-12-05 23:15:00,257.000000
2024-12-05 23:30:00,245.000000
2024-12-05 23:45:00,237.000000
2024-12-06 00:00:00,258.000000
2024-12-06 00:15:00,272.000000
2024-12-06 00:30:00,290.000000
2024-12-06 00:45:00,317.000000
2024-12-06 01:00:00,326.000000
2024-12-06 01:15:00,328.000000
2024-12-06 01:30:00,324.000000
2024-12-06 01:45:00,327.000000
2024-12-06 02:00:00,326.000000
2024-12-06 02:15:00,319.000000
2024-12-06 02:30:00,321.000000
2024-12-06 02:45:00,323.000000
2024-12-06 03:00:00,319.000000
2024-12-06 03:15:00,319.000000
2024-12-06 03:30:00,308.000000
2024-12-06 03:45:00,313.000000
2024-12-06 04:00:00,293.000000
2024-12-06 04:15:00,282.000000
2024-12-06 04:30:00,288.000000
2024-12-06 04:45:00,289.000000
2024-12-06 05:00:00,285.000000
2024-12-06 05:15:00,287.000000
2024-12-06 05:30:00,291.000000
2024-12-06 05:45:00,295.000000
2024-12-06 06:00:00,286.000000
2024-12-06 06:15:00,276.000000
2024-12-06 06:30:00,291.000000
2024-12-06 06:45:00,300.000000
2024-12-06 07:00:00,319.000000
2024-12-06 07:15:00,337.000000
2024-12-06 07:30:00,323.000000
2024-12-06 07:45:00,323.000000
2024-12-06 08:00:00,327.000000
2024-12-06 08:15:00,312.000000
2024-12-06 08:30:00,324.000000
2024-12-06 08:45:00,352.000000
2024-12-06 09:00:00,337.000000
2024-12-06 09:15:00,333.000000
2024-12-06 09:30:00,323.000000
2024-12-06 09:45:00,313.000000
2024-12-06 10:00:00,344.000000
2024-12-06 10:15:00,323.000000
2024-12-06 10:30:00,334.000000
2024-12-06 10:45:00,304.000000
2024-12-06 11:00:00,293.000000
2024-12-06 11:15:00,302.000000
2024-12-06 11:30:00,307.000000
2024-12-06 11:45:00,312.000000
2024-12-06 12:00:00,286.000000
2024-12-06 12:15:00,300.000000
2024-12-06 12:30:00,287.000000
2024-12-06 12:45:00,273.000000
2024-12-06 13:00:00,271.000000
2024-12-06 13:15:00,278.000000
2024-12-06 13:30:00,257.000000
2024-12-06 13:45:00,276.000000
2024-12-06 14:00:00,308.000000
2024-12-06 14:15:00,281.000000
2024-12-06 14:30:00,293.000000
2024-12-06 14:45:00,278.000000
2024-12-06 15:00:00,283.000000
2024-12-06 15:15:00,268.000000
2024-12-06 15:30:00,259.000000
2024-12-06 15:45:00,266.000000
2024-12-06 16:00:00,266.000000
2024-12-06 16:15:00,271.000000
2024-12-06 16:30:00,257.000000
2024-12-06 16:45:00,253.000000
2024-12-06 17:00:00,257.000000
2024-12-06 17:15:00,271.000000
2024-12-06 17:30:00,285.000000
2024-12-06 17:45:00,273.000000
2024-12-06 18:00:00,248.000000
2024-12-06 18:15:00,225.000000
2024-12-06 18:30:00,215.000000
2024-12-06 18:45:00,209.000000
2024-12-06 19:00:00,208.000000
2024-12-06 19:15:00,206.000000
2024-12-06 19:30:00,213.000000
2024-12-06 19:45:00,200.000000
2024-12-06 20:00:00,131.000000
2024-12-06 20:15:00,103.000000
2024-12-06 20:30:00,120.000000
2024-12-06 20:45:00,187.000000
2024-12-06 21:00:00,211.000000
2024-12-06 21:15:00,232.000000
2024-12-06 21:30:00,226.000000
2024-12-06 21:45:00,247.000000
2024-12-06 22:00:00,248.000000
2024-12-06 22:15:00,258.000000
2024-12-06 22:30:00,245.000000
2024-12-06 22:45:00,226.000000
2024-12-06 23:00:00,211.000000
2024-12-06 23:15:00,223.000000
2024-12-06 23:30:00,226.000000
2024-12-06 23:45:00,246.000000
2024-12-07 00:00:00,258.000000
2024-12-07 00:15:00,273.000000
2024-12-07 00:30:00,276.000000
2024-12-07 00:45:00,270.000000
2024-12-07 01:00:00,274.000000
2024-12-07 01:15:00,281.000000
2024-12-07 01:30:00,279.000000
2024-12-07 01:45:00,294.000000
2024-12-07 02:00:00,288.000000
2024-12-07 02:15:00,290.000000
2024-12-07 02:30:00,257.000000
2024-12-07 02:45:00,244.000000
2024-12-07 03:00:00,242.000000
