Time;BRUTO
03/12/2024 22:15;8.19
03/12/2024 22:30;8.20
03/12/2024 22:45;8.18
03/12/2024 23:00;8.18
03/12/2024 23:15;8.20
03/12/2024 23:30;8.22
03/12/2024 23:45;8.25
04/12/2024 00:00;8.27
04/12/2024 00:15;8.28
04/12/2024 00:30;8.27
04/12/2024 00:45;8.29
04/12/2024 01:00;8.29
04/12/2024 01:15;8.28
04/12/2024 01:30;8.25
04/12/2024 01:45;8.25
04/12/2024 02:00;8.28
04/12/2024 02:15;8.30
04/12/2024 02:30;8.27
04/12/2024 02:45;7.24
04/12/2024 03:00;8.14
04/12/2024 03:15;8.19
04/12/2024 03:30;8.21
04/12/2024 03:45;8.22
04/12/2024 04:00;8.23
04/12/2024 04:15;8.47
04/12/2024 04:30;10.5
04/12/2024 04:45;10.7
04/12/2024 05:00;10.6
04/12/2024 05:15;10.3
04/12/2024 05:30;9.88
04/12/2024 05:45;9.63
04/12/2024 06:00;10.1
04/12/2024 06:15;9.69
04/12/2024 06:30;9.51
04/12/2024 06:45;9.53
04/12/2024 07:00;9.79
04/12/2024 07:15;9.88
04/12/2024 07:30;9.90
04/12/2024 07:45;10.1
04/12/2024 08:00;10.2
04/12/2024 08:15;10.1
04/12/2024 08:30;9.97
04/12/2024 08:45;9.97
04/12/2024 09:00;10.7
04/12/2024 09:15;11.0
04/12/2024 09:30;10.6
04/12/2024 09:45;10.4
04/12/2024 10:00;10.1
04/12/2024 10:15;10.5
04/12/2024 10:30;10.8
04/12/2024 10:45;10.6
04/12/2024 11:00;10.9
04/12/2024 11:15;10.7
04/12/2024 11:30;10.2
04/12/2024 11:45;9.64
04/12/2024 12:00;9.27
04/12/2024 12:15;9.06
04/12/2024 12:30;9.14
04/12/2024 12:45;9.24
04/12/2024 13:00;9.20
04/12/2024 13:15;9.43
04/12/2024 13:30;9.63
04/12/2024 13:45;9.38
04/12/2024 14:00;8.81
04/12/2024 14:15;7.75
04/12/2024 14:30;6.31
04/12/2024 14:45;5.87
04/12/2024 15:00;6.66
04/12/2024 15:15;6.45
04/12/2024 15:30;6.72
04/12/2024 15:45;6.87
04/12/2024 16:00;7.29
04/12/2024 16:15;7.20
04/12/2024 16:30;7.03
04/12/2024 16:45;7.04
04/12/2024 17:00;7.25
04/12/2024 17:15;7.49
04/12/2024 17:30;7.49
04/12/2024 17:45;7.49
04/12/2024 18:00;7.23
04/12/2024 18:15;8.26
04/12/2024 18:30;7.92
04/12/2024 18:45;8.01
04/12/2024 19:00;7.82
04/12/2024 19:15;7.21
04/12/2024 19:30;6.36
04/12/2024 19:45;7.73
04/12/2024 20:00;7.06
04/12/2024 20:15;7.46
04/12/2024 20:30;8.59
04/12/2024 20:45;10.6
04/12/2024 21:00;10.8
04/12/2024 21:15;11.4
04/12/2024 21:30;11.6
04/12/2024 21:45;11.7
04/12/2024 22:00;11.8
04/12/2024 22:15;11.7
04/12/2024 22:30;11.7
04/12/2024 22:45;11.6
04/12/2024 23:00;11.0
04/12/2024 23:15;7.94
04/12/2024 23:30;6.18
04/12/2024 23:45;6.50
05/12/2024 00:00;7.53
05/12/2024 00:15;7.39
05/12/2024 00:30;7.07
05/12/2024 00:45;7.38
05/12/2024 01:00;9.35
05/12/2024 01:15;10.7
05/12/2024 01:30;9.77
05/12/2024 01:45;10.4
05/12/2024 02:00;10.3
05/12/2024 02:15;10.1
05/12/2024 02:30;9.88
05/12/2024 02:45;9.40
05/12/2024 03:00;9.28
05/12/2024 03:15;9.77
05/12/2024 03:30;9.43
05/12/2024 03:45;9.13
05/12/2024 04:00;8.50
05/12/2024 04:15;7.68
05/12/2024 04:30;6.76
05/12/2024 04:45;6.19
05/12/2024 05:00;5.86
05/12/2024 05:15;5.72
05/12/2024 05:30;5.58
05/12/2024 05:45;5.56
05/12/2024 06:00;5.86
05/12/2024 06:15;6.69
05/12/2024 06:30;7.12
05/12/2024 06:45;7.08
05/12/2024 07:00;6.88
05/12/2024 07:15;6.88
05/12/2024 07:30;7.18
05/12/2024 07:45;7.46
05/12/2024 08:00;7.29
05/12/2024 08:15;7.38
05/12/2024 08:30;7.21
05/12/2024 08:45;6.78
05/12/2024 09:00;6.50
05/12/2024 09:15;8.61
05/12/2024 09:30;9.21
05/12/2024 09:45;8.03
05/12/2024 10:00;8.03
05/12/2024 10:15;7.75
05/12/2024 10:30;7.72
05/12/2024 10:45;7.67
05/12/2024 11:00;7.81
05/12/2024 11:15;7.50
05/12/2024 11:30;7.80
05/12/2024 11:45;7.52
05/12/2024 12:00;6.67
05/12/2024 12:15;6.19
05/12/2024 12:30;5.84
05/12/2024 12:45;5.48
05/12/2024 13:00;5.65
05/12/2024 13:15;5.17
05/12/2024 13:30;5.18
05/12/2024 13:45;5.81
05/12/2024 14:00;5.73
05/12/2024 14:15;5.49
05/12/2024 14:30;5.20
05/12/2024 14:45;4.50
05/12/2024 15:00;4.14
05/12/2024 15:15;4.08
05/12/2024 15:30;4.05
05/12/2024 15:45;4.30
